(0.860223, 0.406918)
(0.860883, 0.491809)
(0.860248, 0.406971)
(0.860926, 0.491780)
(0.860274, 0.407023)
(0.860968, 0.491751)
(0.860300, 0.407076)
(0.861011, 0.491722)
(0.860326, 0.407129)
(0.861053, 0.491693)
(0.860351, 0.407182)
(0.861096, 0.491664)
(0.860377, 0.407235)
(0.861139, 0.491635)
(0.860403, 0.407288)
(0.861181, 0.491606)
(0.860428, 0.407340)
(0.861224, 0.491577)
(0.860454, 0.407393)
(0.861266, 0.491548)
(0.860480, 0.407446)
(0.861309, 0.491519)
(0.860506, 0.407499)
(0.861352, 0.491490)
(0.860531, 0.407552)
(0.861394, 0.491461)
(0.860557, 0.407605)
(0.861437, 0.491432)
(0.860583, 0.407658)
(0.861479, 0.491403)
(0.860609, 0.407710)
(0.861522, 0.491374)
(0.860634, 0.407763)
(0.861565, 0.491345)
(0.860660, 0.407816)
(0.861607, 0.491316)
(0.860686, 0.407869)
(0.861650, 0.491287)
(0.860711, 0.407922)
(0.861692, 0.491258)
(0.860737, 0.407975)
(0.861735, 0.491229)
(0.860763, 0.408027)
(0.861778, 0.491200)
(0.860789, 0.408080)
(0.861820, 0.491171)
(0.860814, 0.408133)
(0.861863, 0.491142)
(0.860840, 0.408186)
(0.861905, 0.491113)
(0.861948, 0.491085)
(0.630482, 0.820815)
(0.616107, 0.735721)
(0.630486, 0.820838)
(0.616110, 0.735743)
(0.630490, 0.820860)
(0.616113, 0.735766)
(0.604043, 0.641029)
(0.630494, 0.820883)
(0.570097, 0.681819)
(0.504325, 0.751308)
(0.616116, 0.735788)
(0.604053, 0.641032)
(0.630498, 0.820905)
(0.570102, 0.681826)
(0.504330, 0.751319)
(0.616119, 0.735810)
(0.604062, 0.641035)
(0.630502, 0.820928)
(0.570107, 0.681833)
(0.504334, 0.751330)
(0.616122, 0.735832)
(0.604072, 0.641038)
(0.630506, 0.820950)
(0.570112, 0.681840)
(0.504339, 0.751341)
(0.616124, 0.735854)
(0.604081, 0.641041)
(0.630511, 0.820973)
(0.570117, 0.681847)
(0.504344, 0.751352)
(0.616127, 0.735876)
(0.604090, 0.641043)
(0.630515, 0.820995)
(0.570122, 0.681854)
(0.504349, 0.751363)
(0.616130, 0.735898)
(0.604100, 0.641046)
(0.570127, 0.681861)
(0.504353, 0.751374)
(0.616133, 0.735920)
(0.570132, 0.681868)
(0.504358, 0.751385)
(0.616136, 0.735942)
(0.570137, 0.681875)
(0.504363, 0.751396)
(0.616139, 0.735964)
(0.570142, 0.681882)
(0.504368, 0.751407)
(0.504372, 0.751418)
(0.504377, 0.751429)
(0.504382, 0.751440)
(0.504387, 0.751450)
(0.504392, 0.751461)
(0.008266, 0.706632)
(0.008260, 0.706648)
(0.008253, 0.706663)
(0.008246, 0.706678)
(0.291887, 0.617349)
(0.008240, 0.706694)
(0.291871, 0.617378)
(0.008233, 0.706709)
(0.291855, 0.617407)
(-0.116775, 0.392036)
(0.008226, 0.706725)
(0.291839, 0.617436)
(-0.116832, 0.392025)
(0.008219, 0.706740)
(-0.116888, 0.392014)
(0.008213, 0.706756)
(-0.116944, 0.392003)
(0.008206, 0.706771)
(-0.117001, 0.391992)
(0.008199, 0.706786)
(0.008192, 0.706802)
(0.008186, 0.706817)
(0.008179, 0.706833)
(0.008172, 0.706848)
(0.008166, 0.706864)
(0.008159, 0.706879)
(0.008152, 0.706894)
(0.008145, 0.706910)
(0.008139, 0.706925)
(-0.572187, 0.537630)
(0.008132, 0.706941)
(-0.567735, 0.546319)
(0.008125, 0.706956)
(-0.563283, 0.555009)
(0.008118, 0.706972)
(-0.558831, 0.563698)
(0.008112, 0.706987)
(-0.554379, 0.572387)
(-0.549927, 0.581077)
(-0.545475, 0.589766)
(-0.714979, 0.791865)
(-0.541023, 0.598455)
(-0.715013, 0.791867)
(-0.536571, 0.607145)
(-0.715047, 0.791870)
(-0.532119, 0.615834)
(-0.770828, 0.635190)
(-0.715081, 0.791872)
(-0.527667, 0.624523)
(-0.770836, 0.635193)
(-0.775117, 0.758570)
(-0.715115, 0.791874)
(-0.523215, 0.633213)
(-0.770845, 0.635197)
(-0.775125, 0.758573)
(-0.715149, 0.791876)
(-0.518763, 0.641902)
(-0.770854, 0.635200)
(-0.775134, 0.758576)
(-0.715183, 0.791878)
(-0.514311, 0.650591)
(-0.770862, 0.635204)
(-0.775143, 0.758579)
